news_source,rating,rating_num,type,agree,disagree,perc_agree,url_a,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,url_b,name,location,timezone,country,language,bundle,wait,no_adguard
ABC News,left-center,2,News Media,13793,9409,0.594474614257392,https://www.allsides.com/news-source/abc-news-media-bias,0,1,1,1,High,abc,https://en.wikipedia.org/wiki/ABC_News,https://www.facebook.com/ABCNews/,ABC,https://abcnews.go.com/,ABC News,New York City,America/New_York,US,en,us-national,,
Al Jazeera,left-center,2,News Media,3707,6138,0.376536312849162,https://www.allsides.com/news-source/al-jazeera-america,0,0,1,1,Low or Initial Rating,ajenglish,https://en.wikipedia.org/wiki/Al_Jazeera,"https://www.facebook.com/aljazeera/ 
",AJEnglish,https://www.aljazeera.com/,Al Jazeera English,Doha,Asia/Qatar,QA,en,,,
AlterNet,left,1,News Media,3357,862,0.795686181559611,https://www.allsides.com/news-source/alternet-media-bias,0,0,0,1,High,alternet,https://en.wikipedia.org/wiki/AlterNet,https://www.facebook.com/AlterNetNews,AlterNet,https://www.alternet.org/,AlterNet,Washington,America/New_York,US,en,us-left-wing,,
Atlanta Journal-Constitution,left-center,2,News Media,749,690,0.520500347463516,https://www.allsides.com/news-source/atlanta-journal-constitution,0,0,0,0,Low or Initial Rating,ajc,https://en.wikipedia.org/wiki/The_Atlanta_Journal-Constitution,https://www.facebook.com/ajc/,ajc,https://www.ajc.com/,Atlanta Journal-Constitution,Atlanta,America/New_York,US,en,georgia,,
Austin American-Statesman,left-center,2,News Media,659,498,0.569576490924806,https://www.allsides.com/news-source/austin-american-statesman,0,0,0,1,Low or Initial Rating,statesman,https://en.wikipedia.org/wiki/Austin_American-Statesman,https://www.facebook.com/statesman,statesman,https://www.statesman.com/,Austin Statesman,Austin,America/Chicago,US,en,texas|gannett,,
Axios,center,3,News Media,1356,1565,0.464224580623074,https://www.allsides.com/news-source/axios,0,1,0,1,Low or Initial Rating,axios,https://en.wikipedia.org/wiki/Axios_(website),https://www.facebook.com/axiosnews/,axios,https://www.axios.com/,Axios,Washington,America/New_York,US,en,capitol-hill,,
AZ Central,center,3,News Media,9,25,0.264705882352941,https://www.allsides.com/news-source/az-central-media-bias,0,0,0,0,,azcentral,https://en.wikipedia.org/wiki/The_Arizona_Republic,https://www.facebook.com/azcentral/,azcentral,https://www.azcentral.com/,Arizona Republic,Phoenix,America/Phoenix,US,en,arizona|gannett,,
Bloomberg,center,3,News Media,6430,7570,0.459285714285714,https://www.allsides.com/news-source/bloomberg-media-bias,0,1,0,1,Medium,business,https://en.wikipedia.org/wiki/Bloomberg_News,https://www.facebook.com/bloombergbusiness/,business,https://www.bloomberg.com/,Bloomberg,New York City,America/New_York,US,en,us-national,,
Boing Boing,left,1,News Media,763,490,0.608938547486034,https://www.allsides.com/news-source/boing-boing,0,0,0,0,Low or Initial Rating,boingboing,http://en.wikipedia.org/wiki/Boing_Boing,https://www.facebook.com/boingboing,boingboing,https://boingboing.net/,Boing Boing,San Francisco,America/Los_Angeles,US,en,tech,,
Breitbart News,right,5,News Media,17019,8114,0.67715752198305,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,breitbartnews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews,https://www.breitbart.com/,Breitbart,Los Angeles,America/New_York,US,en,us-right-wing,,
